officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Prakashamnagar S.O,500016,S.O,Non-Delivery,Secunderabad,Hyderabad City,Andhra Pradesh,Secunderabad,Hyderabad,TELANGANA,040-23463750,,Secunderabad H.O,78.4468,17.4672
Arabic College S.O,560045,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25432636,,Bangalore G.P.O. ,77.6206,13.0291
Bellandur S.O,560103,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-28441625,,H.A.L II Stage H.O,77.676,12.9298
Domlur S.O,560071,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25356966,,H.A.L II Stage H.O,77.6359,12.9611
Dr. Shivarama Karanth Nagar S.O,560077,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,,,Bangalore G.P.O. ,77.6293,13.0681
Fraser Town S.O,560005,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25485125,,Bangalore G.P.O. ,77.6164,13.0005
G.K.V.K. S.O,560065,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23621550,,R T Nagar H.O,77.5784,13.0781
H.A.L II Stage H.O,560008,H.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25270153,,,77.6427,12.9686
HighCourt S.O,560001,S.O,Non-Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-22862310,,Bangalore G.P.O. ,77.5915,12.9773
Jeevanbhimanagar S.O,560075,S.O,Non-Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25264846,,H.A.L II Stage H.O,77.6535,12.9695
Kothanur S.O,560077,S.O,Non-Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-28465057,,Bangalore G.P.O. ,77.6478,13.0614
Mahatma Gandhi Road S.O,560001,S.O,Non-Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25587270,,Bangalore G.P.O. ,77.61,12.9739
Marathahalli Colony S.O,560037,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25227887,,H.A.L II Stage H.O,77.688,12.9559
NAL S.O,560017,S.O,Non-Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25203596,,H.A.L II Stage H.O,77.6502,12.9596
New Thippasandra S.O,560075,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25297196,,H.A.L II Stage H.O,77.6572,12.9716
Sadashivanagar S.O,560080,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23611278,,R T Nagar H.O,77.5772,13.0094
Sahakaranagar P.O S.O,560092,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-22925904,,R T Nagar H.O,77.588,13.0621
Vimanapura S.O,560017,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-25231573,,H.A.L II Stage H.O,77.6679,12.9585
Yelahanka S.O,560064,S.O,Delivery,Bangalore East,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-28460030,,R T Nagar H.O,77.5975,13.0958
Yelahanka Satellite Town S.O,560064,S.O,Non-Delivery,Bangalore East,Bangalore HQ,Karnataka,,Bangalore,KARNATAKA,080-28460072,,R T Nagar H.O,77.58,13.0946
Bangalore G.P.O. ,560001,H.O,Delivery,Bangalore GPO,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-22868652,,,77.5955,12.9814
Ashoknagar S.O (Bangalore),560050,S.O,Non-Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-26601302,,Jayanagar H.O,77.5645,12.9377
B Sk II Stage S.O,560070,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-26712632,,Jayanagar H.O,77.5695,12.9265
Bannerghatta Road S.O,560076,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-26582288,,Jayanagar H.O,77.5997,12.8976
Basavanagudi H.O,560004,H.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-26612250,,,77.5741,12.9446
Bommanahalli S.O (Bangalore),560068,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-25726381,,Jayanagar H.O,77.6311,12.9068
Bommasandra Industrial Estate S.O,560099,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-7832176,,Jayanagar H.O,77.6878,12.8203
Carmelram S.O,560035,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-28439920,,Basavanagudi H.O,77.6937,12.9078
Chandapura S.O,560081,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore,Bangalore,KARNATAKA,,,Jayanagar H.O,77.7041,12.8016
Dharmaram College S.O,560029,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-26566422,,Jayanagar H.O,77.5684,12.9352
Electronics City S.O,560100,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-28520119,,Jayanagar H.O,77.6626,12.84
Gottigere S.O,560083,S.O,Non-Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,,,Jayanagar H.O,77.5883,12.8564
HSR Layout S.O,560102,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-25720744,,Basavanagudi H.O,77.6382,12.9152
Hulimavu S.O,560076,S.O,Non-Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore,Bangalore,KARNATAKA,,,Jayanagar H.O,77.6022,12.885
J P Nagar S.O,560078,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-26592476,,Jayanagar H.O,77.5868,12.9119
Jayanagar H.O,560041,H.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-22440303,,,77.586,12.9237
Jayangar III Block S.O,560011,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-22440721,,Jayanagar H.O,77.5835,12.9304
JP Nagar III Phase S.O,560078,S.O,Non-Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-26593880,,Jayanagar H.O,77.5976,12.9139
Koramangala VI Bk S.O,560095,S.O,Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-25502660,,Basavanagudi H.O,77.6186,12.9384
Mico Layout S.O,560076,S.O,Non-Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-2783811,,Jayanagar H.O,77.6099,12.9103
Padmanabhnagar S.O,560070,S.O,Non-Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-26698674,,Jayanagar H.O,77.5576,12.9176
St. John's Medical College S.O,560034,S.O,Non-Delivery,Bangalore South,Bangalore HQ,Karnataka,Bangalore South,Bangalore,KARNATAKA,080-25523681,,Basavanagudi H.O,77.6262,12.9277
Gayathrinagar S.O,560021,S.O,Non-Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23523802,,Rajajinagar H.O,77.5581,13.001
Jalahalli East S.O,560014,S.O,Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-28389771,,Jalahalli H.O,77.5463,13.0728
Jalahalli H.O,560013,H.O,Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-28387040,,,77.5539,13.0506
Mahalakshmipuram Layout S.O,560086,S.O,Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23596690,,Rajajinagar H.O,77.5466,13.0108
Malleswaram S.O,560003,S.O,Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23469418,,Rajajinagar H.O,77.5709,13.0002
Malleswaram West S.O,560055,S.O,Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23564240,,Rajajinagar H.O,77.5629,13.0089
Mathikere S.O,560054,S.O,Non-Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23478720,,Jalahalli H.O,77.5576,13.0403
Msrit S.O,560054,S.O,Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23605413,,Jalahalli H.O,77.5642,13.0298
Palace Guttahalli S.O,560003,S.O,Non-Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23466460,,Rajajinagar H.O,77.5819,12.9993
Rajajinagar H.O,560010,H.O,Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23325651,,,77.5545,12.9932
Rajajinagar IVth Block S.O,560010,S.O,Non-Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23528327,,Rajajinagar H.O,77.5612,12.9831
Swimming Pool Extn S.O,560003,S.O,Non-Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23465562,,Rajajinagar H.O,77.574,12.9968
Vidyaranyapura S.O,560097,S.O,Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23646777,,Jalahalli H.O,77.5575,13.076
Vyalikaval Extn S.O,560003,S.O,Non-Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23362629,,Rajajinagar H.O,77.5769,13.004
Yeswanthpura S.O,560022,S.O,Delivery,Bangalore West,Bangalore HQ,Karnataka,Bangalore North,Bangalore,KARNATAKA,080-23371415,,Jalahalli H.O,77.5562,13.0197
Channapatna H.O,562160,H.O,Delivery,Channapatna,Bangalore HQ,Karnataka,Channapatna,Ramanagar,KARNATAKA,080-7251264,,,77.2027,12.6542
Ijoor Ramangaram S.O,562159,S.O,Non-Delivery,Channapatna,Bangalore HQ,Karnataka,Ramanagara,Ramanagar,KARNATAKA,080-27272548,,Channapatna H.O,77.2729,12.716
Malavalli S.O,571430,S.O,Delivery,Mandya,South Karnataka,Karnataka,Malavalli,Mandya,KARNATAKA,08231-242030,,Mandya H.O,77.0594,12.3857
Mandya H.O,571401,H.O,Delivery,Mandya,South Karnataka,Karnataka,Mandya,Mandya,KARNATAKA,08232-220130,,,76.923,12.5402
Alanahalli S.O,570028,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2477774,,Mysore H.O,76.7048,12.3021
Bannimantap S.O,570015,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417333,,Mysore H.O,76.6538,12.3332
Belavadi S.O,570018,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417339,,Saraswathipuram H.O,76.5605,12.351
Bettadapura S.O,571102,S.O,Delivery,Mysore,South Karnataka,Karnataka,Periyapatna,Mysore,KARNATAKA,08223-275421,,Saraswathipuram H.O,76.0986,12.48
Bilikere S.O,571103,S.O,Delivery,Mysore,South Karnataka,Karnataka,Hunsur,Mysore,KARNATAKA,08222-240030,,Saraswathipuram H.O,76.4543,12.3345
Bogadi S.O,570026,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417349,,Saraswathipuram H.O,76.6013,12.3024
Brindavan Extension S.O,570020,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2511753,,Mysore H.O,76.6358,12.3401
Bylakuppe S.O,571104,S.O,Delivery,Mysore,South Karnataka,Karnataka,Periyapatna,Mysore,KARNATAKA,08223-254331,,Saraswathipuram H.O,75.9965,12.4292
Chamundi Extension S.O,570004,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417347,,Mysore H.O,76.6476,12.2891
Chunchunakatte S.O,571617,S.O,Delivery,Mysore,South Karnataka,Karnataka,K R Nagar,Mysore,KARNATAKA,08223-281130,,Saraswathipuram H.O,76.3008,12.4986
G S Ashram S.O,570025,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417311,,Mysore H.O,76.6576,12.2858
Gavadagere S.O,571610,S.O,Delivery,Mysore,South Karnataka,Karnataka,Hunsur,Mysore,KARNATAKA,08222-248740,,Saraswathipuram H.O,76.4357,12.3464
Gokulam S.O,570002,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2513703,,Mysore H.O,76.6318,12.3293
Hampapura (H D Kote) S.O,571125,S.O,Delivery,Mysore,South Karnataka,Karnataka,H D Kote,Mysore,KARNATAKA,08228-267707,,Saraswathipuram H.O,76.4954,12.1288
Hampapura (K R Nagar) S.O,571601,S.O,Delivery,Mysore,South Karnataka,Karnataka,K R Nagar,Mysore,KARNATAKA,08223-262420,,Saraswathipuram H.O,76.3963,12.4922
Hanagodu S.O,571106,S.O,Delivery,Mysore,South Karnataka,Karnataka,Hunsur,Mysore,KARNATAKA,,,Saraswathipuram H.O,76.1884,12.2389
Hebbal Layout S.O,570016,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2302204,,Mysore H.O,76.6164,12.346
Heggadedevana Kote S.O,571114,S.O,Delivery,Mysore,South Karnataka,Karnataka,H D Kote,Mysore,KARNATAKA,08228-255321,,Saraswathipuram H.O,76.3327,12.0944
Hunsur S.O,571105,S.O,Delivery,Mysore,South Karnataka,Karnataka,Hunsur,Mysore,KARNATAKA,08222-252037,,Saraswathipuram H.O,76.2917,12.3061
Infosys Campus S.O,570027,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,,,Saraswathipuram H.O,76.5969,12.3091
Ittigegud S.O,570010,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417340,,Mysore H.O,76.6569,12.3032
Jayalakshmipuram S.O (Mysore),570012,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417330,,Mysore H.O,76.6238,12.32
Jayanagar S.O (Mysore),570014,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417329,,Saraswathipuram H.O,76.634,12.2941
Kabini Colony S.O,571116,S.O,Delivery,Mysore,South Karnataka,Karnataka,H D Kote,Mysore,KARNATAKA,08228-268308,,Saraswathipuram H.O,76.3553,11.9772
Kadakola S.O,571311,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2596330,,Saraswathipuram H.O,76.6663,12.1936
Kanagal S.O,571187,S.O,Delivery,Mysore,South Karnataka,Karnataka,Periyapatna,Mysore,KARNATAKA,08223-270022,,Saraswathipuram H.O,75.9921,12.5615
Kattemalalavadi S.O,571134,S.O,Delivery,Mysore,South Karnataka,Karnataka,Hunsur,Mysore,KARNATAKA,08222-252770,,Saraswathipuram H.O,76.3363,12.3179
Krishna Raja Mohalla S.O,570004,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417344,,Mysore H.O,76.6442,12.305
Krishna Raja Nagar S.O,571602,S.O,Delivery,Mysore,South Karnataka,Karnataka,K R Nagar,Mysore,KARNATAKA,08223-262430,,Saraswathipuram H.O,76.381,12.439
Krishna Rajendra Circle S.O,570001,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417316,,Mysore H.O,76.6532,12.3088
Krishnamurthypuram S.O,570004,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417369,,Mysore H.O,76.6392,12.2964
Kuvempunagar II Stage S.O,570023,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2560901,,Saraswathipuram H.O,76.6231,12.2789
Kuvempunagar S.O (Mysore),570023,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417331,,Saraswathipuram H.O,76.6269,12.2943
Lakshmipuram S.O (Mysore),570004,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417315,,Mysore H.O,76.6431,12.2969
Manasagangothri S.O,570006,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417314,,Mysore H.O,76.618,12.3111
Mandimohalla S.O,570001,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417341,,Mysore H.O,76.6565,12.3292
Metagalli S.O,570016,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417332,,Mysore H.O,76.632,12.3474
Mirle S.O,571603,S.O,Delivery,Mysore,South Karnataka,Karnataka,K R Nagar,Mysore,KARNATAKA,08223-282230,,Saraswathipuram H.O,76.2998,12.5164
Mysore Fort S.O,570004,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417368,,Mysore H.O,76.6552,12.3006
Mysore H.O,570001,H.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417303,,,76.6568,12.3117
Mysore Law Courts S.O,570005,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417364,,Saraswathipuram H.O,76.6397,12.3025
Mysore South S.O,570008,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417342,,Mysore H.O,76.6429,12.2832
Mysore University S.O,570005,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417317,,Mysore H.O,76.6374,12.311
Narasimha Raja Mohalla S.O,570007,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417343,,Mysore H.O,76.6608,12.3302
Note Mudran Nagar S.O,570003,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2582730,,Mysore H.O,76.6508,12.3508
Periyapatna S.O,571107,S.O,Delivery,Mysore,South Karnataka,Karnataka,Periyapatna,Mysore,KARNATAKA,08223-274211,,Saraswathipuram H.O,76.1,12.3368
PTC Campus S.O,570010,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417365,,Mysore H.O,76.6677,12.3082
Ramakrishna Nagar S.O (Mysore),570022,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417334,,Saraswathipuram H.O,76.6197,12.2907
Rathnapuri Colony S.O,571189,S.O,Delivery,Mysore,South Karnataka,Karnataka,Hunsur,Mysore,KARNATAKA,08222-245044,,Saraswathipuram H.O,76.3401,12.2382
Ravandur S.O,571108,S.O,Delivery,Mysore,South Karnataka,Karnataka,Periyapatna,Mysore,KARNATAKA,08223-277430,,Saraswathipuram H.O,76.1919,12.4292
Saligrama S.O (Mysore),571604,S.O,Delivery,Mysore,South Karnataka,Karnataka,K R Nagar,Mysore,KARNATAKA,08223-283321,,Saraswathipuram H.O,76.2569,12.5653
Saraswathipuram H.O,570009,H.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417320,,,76.6298,12.3036
Sargur S.O,571121,S.O,Delivery,Mysore,South Karnataka,Karnataka,H D Kote,Mysore,KARNATAKA,08228-265521,,Saraswathipuram H.O,76.3964,11.9998
Shakthinagar S.O,570029,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2494746,,Mysore H.O,76.6987,12.3117
Shivaraathreeswar Nagar S.O,570015,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2495040,,Mysore H.O,76.6546,12.343
Siddarthanagar Nagar S.O,570011,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417335,,Mysore H.O,76.6766,12.3034
Sri Rampura 2nd Stage S.O,570023,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2481121,,Saraswathipuram H.O,76.6262,12.2702
Udayagiri S.O (Mysore),570019,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417336,,Mysore H.O,76.6772,12.3243
University Campus S.O (Mysore),570006,S.O,Non-Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417337,,Mysore H.O,76.6223,12.3193
Vani Vilas Mohalla S.O,570002,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417318,,Mysore H.O,76.6267,12.3227
Vijaynagar II Stage S.O,570017,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417328,,Mysore H.O,76.6131,12.3403
Yadavagiri S.O,570020,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-2417345,,Mysore H.O,76.6368,12.3226
Yelwal S.O,571130,S.O,Delivery,Mysore,South Karnataka,Karnataka,Mysore,Mysore,KARNATAKA,0821-242230,,Saraswathipuram H.O,76.5421,12.3591
Bannur S.O,571101,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Kollegal,Mysore,KARNATAKA,08227-275621,,Kollegal H.O,76.8611,12.3306
Gargeshwari S.O,571110,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,T Narasipura,Mysore,KARNATAKA,08227-261250,,Kollegal H.O,76.8923,12.2396
Gundlupet S.O,571111,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Gundlupet,Chamrajnagar,KARNATAKA,08226-78978978,,Nanjangud H.O,76.688,11.8097
Haradanahalli S.O,571127,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Chamarajanagara,Chamrajnagar,KARNATAKA,08226-238131,,Kollegal H.O,76.9548,11.8779
Hullahalli S.O,571314,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud ,Mysore,KARNATAKA,08221-220130,,Nanjangud H.O,76.5108,12.1428
Hura S.O (Mysore),571315,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud ,Mysore,KARNATAKA,08221-231330,,Nanjangud H.O,76.5454,12.0273
Kagalavadi S.O,571117,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Chamarajanagara,Chamrajnagar,KARNATAKA,08226-232230,,Kollegal H.O,76.8991,12.0719
Kalale S.O,571118,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-238030,,Nanjangud H.O,76.665,12.0727
Kavalande S.O,571312,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-221630,,Nanjangud H.O,76.8094,12.0214
Nagarle S.O,571129,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-232230,,Nanjangud H.O,76.7664,12.1463
Nanjangud H.O,571301,H.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-226220,,,76.6797,12.1247
Old Sosale S.O,571120,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,T Narasipura,Mysore,KARNATAKA,08227-261230,,Kollegal H.O,76.9111,12.2409
Srikantapuri Extension S.O,571301,S.O,Non-Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-225815,,Nanjangud H.O,76.6738,12.1138
T Narasipura S.O,571124,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,T Narasipura,Mysore,KARNATAKA,08227-261221,,Kollegal H.O,76.8978,12.2151
Tagadur S.O,571119,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-235030,,Nanjangud H.O,76.8089,12.0965
Talakad S.O,571122,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,T Narasipura,Mysore,KARNATAKA,08227-273330,,Kollegal H.O,77.0259,12.1922
Thandavapura S.O,571302,S.O,Delivery,Nanjangud,South Karnataka,Karnataka,Nanjangud,Mysore,KARNATAKA,08221-226320,,Nanjangud H.O,76.6754,12.1693
Variyankaval S.O,621806,S.O,Delivery,Tiruchirapalli,Tiruchy,Tamilnadu,Jayamkondacholapuram,Ariyalur,TAMIL NADU,,,Lalgudi H.O,78.4475,17.4718

